"fatal","lowdem","terr500k10yr","interaction4","defense","caprat","contig","pnbdem_low","peaceyears","spline1","spline2","spline3"
1,-7,0,0,0,0.825482368469238,0,0.25,1,-0.956756770610809,-0.897297322750092,-0.805405378341675
1,-7,2,-14,0,0.22479872405529,1,0,5,-119.594596862793,-112.162162780762,-100.675674438477
1,-7,0,0,0,0.283590614795685,1,0,0,0,0,0
1,-1,0,0,1,0.71581768989563,1,0.16666667163372,70,-89839.5625,-175121.96875,-236950.0625
1,-1,0,0,1,0.650259017944336,1,0.400000005960464,0,0,0,0
1,-7,9,-63,0,0.257026851177216,0,0,14,-2409.34057617188,-2462.18383789062,-2210.03247070312
1,-10,1,-10,1,0.69974935054779,1,0.117647059261799,41,-30003.6328125,-51194.62890625,-55384.34765625
1,-6,0,0,1,0.0632521733641624,1,0,91,-149197.125,-302929.25,-440555.1875
1,-10,10,-100,0,0.118476152420044,1,0.222222194075584,4,-61.2324333190918,-57.4270286560059,-51.5459442138672
1,-7,2,-14,0,0.219681024551392,1,0,3,-25.8324317932129,-24.2270278930664,-21.7459468841553
1,0,0,0,0,0.042815338820219,0,0,23,-8265.859375,-10853.416015625,-9799.3671875
1,-8,6,-48,0,0.468126773834229,1,0.176470592617989,5,-119.594596862793,-112.162162780762,-100.675674438477
1,-5,0,0,0,0.339551031589508,0,0.333333343267441,16,-3406.87573242188,-3675.32983398438,-3298.9404296875
1,-7,0,0,0,0.107584722340107,1,0.25,6,-206.659454345703,-193.816223144531,-173.967575073242
1,7,8,56,0,0.0135991340503097,1,0.214285716414452,22,-7443.5458984375,-9527.421875,-8575.95703125
1,1,2,2,0,0.137335211038589,1,0,1,-0.956756770610809,-0.897297322750092,-0.805405378341675
1,-9,10,-90,0,0.0270755644887686,0,0.25,4,-61.2324333190918,-57.4270286560059,-51.5459442138672
